Date,Campaign type,Impressions,Clicks,Cost,Conversions,Revenue
01-01-2024,Cross-network,143669,896,656.3,6.5,1410.3
01-01-2024,Display Network,3,0,0,0,0
01-01-2024,Search Network,3701,251,496.5,4.5,576.4
01-01-2024,YouTube,36211,8,115.2,0,0
02-01-2024,Cross-network,183496,1172,1525,8.8,3565.7
02-01-2024,Display Network,8,0,0,0,0
02-01-2024,Search Network,5764,492,1256.8,9.4,1266.2
02-01-2024,YouTube,36876,4,120.2,0,0
03-01-2024,Cross-network,165282,988,1342.4,20.3,2511.1
03-01-2024,Display Network,10,0,0,0,0
03-01-2024,Search Network,5950,536,1639.8,14.8,3574.5
03-01-2024,YouTube,36427,3,120.6,0,0
04-01-2024,Cross-network,126346,812,1118.6,17.9,6379.6
04-01-2024,Display Network,12,0,0,0,0
04-01-2024,Search Network,5063,527,1324.6,18.2,3933.2
04-01-2024,YouTube,35725,0,120,0,0
05-01-2024,Cross-network,108205,736,931.4,18,3034.3
05-01-2024,Display Network,9,0,0,0,0
05-01-2024,Search Network,4806,494,1214.6,22.9,6063.9
05-01-2024,YouTube,36676,2,120.5,0,0
06-01-2024,Cross-network,82521,574,431.6,18,1745.6
06-01-2024,Display Network,2,0,0,0,0
06-01-2024,Search Network,2470,281,490.2,16.5,1267
06-01-2024,YouTube,37949,1,120.1,0,0
07-01-2024,Cross-network,65822,484,324.5,16.4,3441.8
07-01-2024,Display Network,5,0,0,0,0
07-01-2024,Search Network,2578,268,412,17,3019
07-01-2024,YouTube,38380,4,119.3,0,0
08-01-2024,Cross-network,82829,647,819.1,38.7,7824.3
08-01-2024,Display Network,8,0,0,0,0
08-01-2024,Search Network,3655,437,947.8,54.6,11383.4
08-01-2024,YouTube,38573,5,119.6,0,0
09-01-2024,Cross-network,108980,751,969.1,33.3,7902.4
09-01-2024,Display Network,7,0,0,0,0
09-01-2024,Search Network,4013,456,1080.4,35.5,6906.1
09-01-2024,YouTube,38372,3,119.6,0,0
10-01-2024,Cross-network,156835,988,1393.1,60,12345.6
10-01-2024,Display Network,8,0,0,0,0
10-01-2024,Search Network,4477,536,1410.3,58.7,13761.6
10-01-2024,YouTube,36964,1,118.1,0,0
11-01-2024,Cross-network,236943,1455,2028.8,58.5,8877.8
11-01-2024,Display Network,13,0,0,0,0
11-01-2024,Search Network,5090,509,1118.8,48.5,11203.3
11-01-2024,YouTube,38278,1,119.2,0,0
12-01-2024,Cross-network,231939,1296,1800.9,30.4,8638.6
12-01-2024,Display Network,6,0,0,0,0
12-01-2024,Search Network,3996,432,742.7,30.5,6679.6
12-01-2024,YouTube,38705,4,118.4,0,0
13-01-2024,Cross-network,277964,1683,1605.1,35.1,7663.5
13-01-2024,Display Network,4,0,0,0,0
13-01-2024,Search Network,3085,271,330.8,6.7,1105.3
13-01-2024,YouTube,38455,3,119,0,0
14-01-2024,Cross-network,326220,1998,2028.4,22.6,2690.2
14-01-2024,Display Network,3,0,0,0,0
14-01-2024,Search Network,3601,278,417.7,11,1157.9
14-01-2024,YouTube,39071,2,118.1,0,0
15-01-2024,Cross-network,434756,2489,3604.6,64.6,10411.7
15-01-2024,Display Network,4,0,0,0,0
15-01-2024,Search Network,5392,473,1115.5,42.2,9766.8
15-01-2024,YouTube,23161,2,69.6,0,0
16-01-2024,Cross-network,482605,2726,4215,63.2,14963.4
16-01-2024,Display Network,7,0,0,0,0
16-01-2024,Search Network,5592,547,1146.7,43.2,6736.5
16-01-2024,YouTube,23294,0,72.3,0,0
17-01-2024,Cross-network,515359,2832,4682.9,63.8,15741
17-01-2024,Display Network,4,0,0,0,0
17-01-2024,Search Network,5685,540,1402.6,44.4,10774.5
17-01-2024,YouTube,22886,2,72.4,0.8,113.7
18-01-2024,Cross-network,485985,2512,4009.5,59.2,19169.2
18-01-2024,Display Network,2,0,0,0,0
18-01-2024,Search Network,6519,573,1590.8,38.3,10497.9
18-01-2024,YouTube,22712,2,72.1,0,0
19-01-2024,Cross-network,473546,2463,3707,54.4,10077.7
19-01-2024,Display Network,8,0,0,0,0
19-01-2024,Search Network,5856,503,1179.7,28,5698.8
19-01-2024,YouTube,22564,2,72.1,0,0
20-01-2024,Cross-network,391816,2277,2594.5,41.5,7980.2
20-01-2024,Display Network,1,0,0,0,0
20-01-2024,Search Network,4064,298,366.7,11.7,1198.7
20-01-2024,YouTube,21648,1,71.5,0,0
21-01-2024,Cross-network,425028,2323,2447.9,29.3,6491.4
21-01-2024,Display Network,1,0,0,0,0
21-01-2024,Search Network,4510,367,520.6,13.4,2759.3
21-01-2024,YouTube,21293,0,71.1,0,0
22-01-2024,Cross-network,574062,2921,4732.3,54.2,8599.4
22-01-2024,Display Network,5,0,0,0,0
22-01-2024,Search Network,8208,564,1549.7,43.4,9666.4
22-01-2024,YouTube,21677,1,70.8,0,0
23-01-2024,Cross-network,604924,3082,4937,50.8,7247.7
23-01-2024,Display Network,4,0,0,0,0
23-01-2024,Search Network,9025,632,1624.9,62,21010
23-01-2024,YouTube,20978,1,70.1,0,0
24-01-2024,Cross-network,608893,3027,5193.1,69.3,13384.7
24-01-2024,Display Network,4,0,0,0,0
24-01-2024,Search Network,20181,912,3305.1,60.3,15434.2
24-01-2024,YouTube,21047,1,69.8,0,0
25-01-2024,Cross-network,597707,3096,5209.3,79.4,20348.1
25-01-2024,Display Network,7,0,0,0,0
25-01-2024,Search Network,15704,852,2874,52.8,12394.4
25-01-2024,YouTube,21237,1,69.5,0,0
26-01-2024,Cross-network,501184,2632,3646.5,62.3,11202
26-01-2024,Display Network,2,0,0,0,0
26-01-2024,Search Network,13340,696,2310.7,45.6,8948
26-01-2024,YouTube,21204,1,69.2,0,0
27-01-2024,Cross-network,451824,2432,2503.7,26.4,2921
27-01-2024,Display Network,4,0,0,0,0
27-01-2024,Search Network,9624,479,1030.1,14.7,3599.4
27-01-2024,YouTube,20492,2,68.5,0,0
28-01-2024,Cross-network,460679,2664,2737.4,37.7,4842.3
28-01-2024,Display Network,8,0,0,0,0
28-01-2024,Search Network,9384,444,853.5,15.5,2732.8
28-01-2024,YouTube,19994,4,67.4,0,0
29-01-2024,Cross-network,622329,3256,5148.5,67.2,11734.6
29-01-2024,Display Network,8,0,0,0,0
29-01-2024,Search Network,15600,768,2346.9,50.1,18960.8
29-01-2024,YouTube,19440,3,66.3,0,0
30-01-2024,Cross-network,650377,3319,5374.6,75.6,13479.2
30-01-2024,Display Network,10,0,0,0,0
30-01-2024,Search Network,15189,793,2331.4,56.6,12622
30-01-2024,YouTube,19077,2,64,0,0
31-01-2024,Cross-network,698237,3690,6218.3,78.5,15357.7
31-01-2024,Display Network,7,0,0,0,0
31-01-2024,Search Network,17932,836,2399.3,47,13171.6
31-01-2024,YouTube,18450,3,61.4,0,0
01-02-2024,Cross-network,613360,3211,4718.5,54.7,8627.5
01-02-2024,Display Network,8,0,0,0,0
01-02-2024,Search Network,16213,833,2686.3,46.4,10263.2
01-02-2024,YouTube,20701,4,72.8,0,0
02-02-2024,Cross-network,610351,3124,4748,56.5,14842.5
02-02-2024,Display Network,3,0,0,0,0
02-02-2024,Search Network,16626,819,2468.4,49.8,14267.7
02-02-2024,YouTube,21800,4,76,0,0
03-02-2024,Cross-network,556633,2946,3362.6,26.2,4793.5
03-02-2024,Display Network,2,0,0,0,0
03-02-2024,Search Network,13462,490,1003.4,15.5,4451.8
03-02-2024,YouTube,21902,3,76.8,0,0
04-02-2024,Cross-network,529966,3039,3239,39,7092
04-02-2024,Search Network,10129,536,1046.2,13,2331.9
04-02-2024,YouTube,21836,2,76.2,0.8,1678.2
05-02-2024,Cross-network,634312,3347,5522.6,89.6,14875.3
05-02-2024,Display Network,8,0,0,0,0
05-02-2024,Search Network,19632,781,1924.3,48.2,15561.8
05-02-2024,YouTube,21332,4,75.9,0,0
06-02-2024,Cross-network,548167,2694,4878.8,90.2,20845.2
06-02-2024,Display Network,6,0,0,0,0
06-02-2024,Search Network,13233,867,2297.6,41.9,7939.2
06-02-2024,YouTube,21908,1,75.6,0,0
07-02-2024,Cross-network,600093,3311,5853.3,71.1,13528.5
07-02-2024,Display Network,6,0,0,0,0
07-02-2024,Search Network,19378,978,2248.9,35.6,7221.8
07-02-2024,YouTube,22033,4,75.5,0,0
08-02-2024,Cross-network,588948,3107,5509.8,68.7,16710
08-02-2024,Display Network,4,0,0,0,0
08-02-2024,Search Network,15082,878,2751.8,37.8,12134.4
08-02-2024,YouTube,21360,2,75,0,0
09-02-2024,Cross-network,578324,3067,5269.4,63.1,12598
09-02-2024,Display Network,4,0,0,0,0
09-02-2024,Search Network,11727,658,1891.2,37.8,7974.2
09-02-2024,YouTube,22260,0,74.8,0.8,664
10-02-2024,Cross-network,515338,2720,3399.4,30.4,4834.7
10-02-2024,Display Network,2,0,0,0,0
10-02-2024,Search Network,9261,513,1126.7,11.8,1370.9
10-02-2024,YouTube,22516,1,75.7,0,0
11-02-2024,Cross-network,455154,2508,3014,26,6132.8
11-02-2024,Display Network,3,0,0,0,0
11-02-2024,Search Network,8906,437,932.9,12.4,2604.2
11-02-2024,YouTube,21255,3,74.9,0.8,0
12-02-2024,Cross-network,592160,3030,5747.7,61.5,19212
12-02-2024,Display Network,12,0,0,0,0
12-02-2024,Search Network,18156,744,2212.8,43.9,8909.6
12-02-2024,YouTube,21210,2,74.5,0,0
13-02-2024,Cross-network,515647,2620,4334.7,69.9,12729.1
13-02-2024,Display Network,4,0,0,0,0
13-02-2024,Search Network,16716,821,2507.1,54.8,11553.9
13-02-2024,YouTube,20479,1,73.7,0,0
14-02-2024,Cross-network,424214,2234,3998.1,58.4,15133.8
14-02-2024,Display Network,5,0,0,0,0
14-02-2024,Search Network,13087,743,2091.4,49.2,12013.6
14-02-2024,YouTube,20180,1,73.3,0,0
15-02-2024,Cross-network,426194,2329,3909.5,52.6,15456.6
15-02-2024,Display Network,4,0,0,0,0
15-02-2024,Search Network,12144,668,1880,51.6,10942.3
15-02-2024,YouTube,21158,4,74.4,0,0
16-02-2024,Cross-network,447970,2392,3676,61.7,11389.2
16-02-2024,Display Network,5,0,0,0,0
16-02-2024,Search Network,7262,468,1196.1,46.4,11720.1
16-02-2024,YouTube,20536,2,73.7,0,0
17-02-2024,Cross-network,381581,2130,2413.4,36.8,7195.3
17-02-2024,Search Network,4434,208,335.1,12.1,1851.2
17-02-2024,YouTube,20427,0,73.5,0,0
18-02-2024,Cross-network,372008,2097,2132.4,43,7448
18-02-2024,Display Network,1,0,0,0,0
18-02-2024,Search Network,3460,223,324.5,14.1,2514.3
18-02-2024,YouTube,20684,1,73,0,0
19-02-2024,Cross-network,481684,2622,4518.3,82.7,15728.8
19-02-2024,Display Network,18,0,0.1,0,0
19-02-2024,Search Network,13113,432,950.7,42,8762
19-02-2024,YouTube,19927,4,72.6,0,0
20-02-2024,Cross-network,436268,2426,3948.4,76.7,13617.9
20-02-2024,Display Network,10,0,0,0,0
20-02-2024,Search Network,12168,532,1038.8,38.2,10231.7
20-02-2024,YouTube,18215,3,72.7,0,0
21-02-2024,Cross-network,452609,2482,4284.6,71.2,20177.7
21-02-2024,Display Network,10,0,0,0,0
21-02-2024,Search Network,14952,584,1460.8,38.6,9782.5
21-02-2024,YouTube,18833,4,71.7,0,0
22-02-2024,Cross-network,398333,2169,3212.3,44,9612.3
22-02-2024,Display Network,11,0,0,0,0
